pat1,pat2,features (n),distance,,,,,
P19,P76,20,0.023514954,,,,,
P19,P76,25,0.023846583,,,,,
P19,P76,30,0.023768857,,,,,
P19,P76,40,0.025996023,,,,,
P19,P76,50,0.030308244,,,,,
P19,P76,60,0.034868698,,,,,
P19,P76,80,0.037337403,,,,,
P19,P76,100,0.042005403,,,,,
P19,P76,110,0.044852151,,,,,
P19,P95,5,0.01972723,,,,,
P19,P95,10,0.015816663,,,,,
P19,P95,15,0.018284349,,,,,
P19,P95,20,0.01887983,,,,,
P19,P95,25,0.019621756,,,,,
P19,P95,30,0.020296507,,,,,
P19,P95,40,0.022066485,,,,,
P19,P95,50,0.027733663,,,,,
P19,P95,60,0.032974441,,,,,
P19,P95,80,0.037155918,,,,,
P19,P95,100,0.046387531,,,,,
P19,P95,110,0.046889143,,,,,
P19,P27,5,0.029075656,,,,,
P19,P27,10,0.024986787,,,,,
P19,P27,15,0.026084571,,,,,
P19,P27,20,0.025295402,,,,,
P19,P27,25,0.025632602,,,,,
P19,P27,30,0.024923673,,,,,
P19,P27,40,0.028821125,,,,,
P19,P27,50,0.031602425,,,,,
P19,P27,60,0.032342549,,,,,
P19,P27,80,0.034164007,,,,,
P19,P27,100,0.046222344,,,,,
P19,P27,110,0.053240937,,,,,
P19,P32,5,0.026476866,,,,,
P19,P32,10,0.024445027,,,,,
P19,P32,15,0.022805292,,,,,
P19,P32,20,0.022936071,,,,,
P19,P32,25,0.024620208,,,,,
P19,P32,30,0.024947507,,,,,
P19,P32,40,0.026603861,,,,,
P19,P32,50,0.032544805,,,,,
P19,P32,60,0.032869837,,,,,
P19,P32,80,0.038211791,,,,,
P19,P32,100,0.045472847,,,,,
P19,P32,110,0.049798118,,,,,
P19,P39,5,0.02516624,,,,,
P19,P39,10,0.023351713,,,,,
P19,P39,15,0.024779252,,,,,
P19,P39,20,0.025913778,,,,,
P19,P39,25,0.026582504,,,,,
P19,P39,30,0.02571149,,,,,
P19,P39,40,0.026918138,,,,,
P19,P39,50,0.031195227,,,,,
P19,P39,60,0.036558376,,,,,
P19,P39,80,0.040432888,,,,,
P19,P39,100,0.050524975,,,,,
P19,P39,110,0.05428528,,,,,
P19,P58,5,0.01523272,,,,,
P19,P58,10,0.013399039,,,,,
P19,P58,15,0.013912755,,,,,
P19,P58,20,0.01459233,,,,,
P19,P58,25,0.015226659,,,,,
P19,P58,30,0.014676514,,,,,
P19,P58,40,0.019251344,,,,,
P19,P58,50,0.023790239,,,,,
P19,P58,60,0.026331395,,,,,
P19,P58,80,0.028162744,,,,,
P19,P58,100,0.030637751,,,,,
P19,P58,110,0.032142084,,,,,
P19,P59,5,0.024077547,,,,,
P19,P59,10,0.02647388,,,,,
P19,P59,15,0.024690656,,,,,
P19,P59,20,0.02619168,,,,,
P19,P59,25,0.027444369,,,,,
P19,P59,30,0.026305608,,,,,
P19,P59,40,0.028887542,,,,,
P19,P59,50,0.031373152,,,,,
P19,P59,60,0.031906201,,,,,
